Empresa,Relato
Correios,"No dia 07/10/2024, realizei a compra de um inversor de potência no Mercado Livre. Infelizmente, não encontrei nenhum vendedor que já tivesse o produto disponível no Brasil. Assim, o produto está vindo da China, conforme o código de rastreamento ND219480692BR, fornecido pelos Correios, desde o dia 10/10/2024. De acordo com o rastreamento, o produto chegou ao Brasil no dia 18/10/2024, levando apenas 8 dias para atravessar o mundo. Foi liberado na alfândega no mesmo dia, já que todos os impostos foram pagos no momento da compra. Agora, o mais preocupante é que os Correios já estão indo para 10 dias desde que o produto saiu de Curitiba/PR com destino a Contagem/MG e, até agora, ele ainda não chegou lá, tampouco foi encaminhado para Uberlândia/MG. Quando fiz a compra, o prazo de entrega informado era até o dia 23/10/2024. Sabe o que é ainda pior? Quando o carteiro vem entregar encomendas aqui em casa, ele raramente bate no portão ou, quando bate, mal espera. Se pedimos para ele aguardar enquanto pegamos a chave, ele parece sair correndo, pois em menos de 30 segundos, quando chegamos ao portão, ele já sumiu. Em seguida, o status é marcado como ""ausente"". Depois disso, ainda temos que esperar mais uma semana para a encomenda ser liberada para retirada na agência, que está sempre lotada e com, no máximo, duas pessoas atendendo. Detalhe: sempre há alguém em casa, 24 horas por dia. Nunca vi uma empresa com um serviço tão insatisfatório quanto o dos Correios. É um transporte lento, ineficaz e sem cuidado algum. Se não fosse uma empresa pública, já teria falido há décadas."
Serasa Experian,"Em (data) verifiquei a o extrato ( cartão de crédito / conta corrente) na qual constava cobrança do serviço (indique o serviço cobrado exemplo: seguro, título de capitalização, etc) no valor (indique o valor da cobrança) que por mim não é reconhecido, pois eu não solicitei e não autorizei a contratação. (Descreva os contatos realizados com a empresa os indicando data, horário e o atendimento recebido e informe se o valor contestado foi ou não pago)"
Sky Airline,"Gostaria de formalizar uma reclamação referente a um dano em minha bagagem ocorrido durante o voo H2 604, realizado no dia 09/09/2024 com a Sky Airline, de Santiago, Chile, para Guarulhos/SP. No momento em que retirei minha bagagem da esteira, percebi que estava muito danificada, especificamente quebrada e com os meus pertences quase saindo da bagagem. Fui ao clichê questionar, mas não tinha ninguém. Desta forma, uma funcionário do Aeroporto indicou-me para ir até o check in, desta forma, o Funcionário da empresa disse que estaria fazendo um chamado, porém só me entregou um papel com telefone para entrar em contato. Esse tal dano impossibilitou o uso da minha bagagem em viagens futuras e causou transtornos imediatos, uma vez que, eu tive que envelopar a mala para prosseguir viagem. Em anexo, envio fotos da mala danificada, o bilhete de embarque e demais documentos comprobatórios para análise. Agradeço desde já a atenção e fico no aguardo de instruções sobre o procedimento e os prazos para resolução."
Hurb - Hotel Urbano,"Prezados, Ha quase um ano estou aguardando receber valores da empresa hurb referente a pacote de viagem não honrado e constrangimento do cancelamento no dia da viagem. Todavia, embora o recebimento esteja sendo tentado através de ordem judicial, sim, existe uma determinação transitada em julgado que exige da empresa o ressarcimento dos danos, NÃO EXISTE NENHUM VALOR NO NOME DA EMPRESA o que faz com que a execução reste infrutífera. O pior disso é verificar que a empresa segue normalmente as vendas de pacotes, inclusive o CEO declarou recentemente que a empresa encontra-se mais firme que nunca. Ora, se isto for verdade, realize o pagamento!"
Shopee Brasil,"Pedido 2410270KE7G166M Comprei um creme e me enviaram outro to saco cheio de vendedor q faz isso pra ver se cola e a shopee nao faz nada . Eu avisei q quero coleta para devolução. Eu não vou aos correios deveolver.1, pq sou pne e tenho dificuldade de locomoção, 2 que se eu quisesse sair de casa eu ia comprar o creme na farmácia. Eu ja compro pela internet ora nao ter q sair. Nao vou sair pra devolver produto errado pq o vendedor é mal carater e envia outra coisa pra ver se cola."
Latam Airlines (Tam),"Oi, latam! Tudo bom? Venho aqui suplicar a vcs por uma ajuda! É uma ajuda mesmo que eu venho pedir. Minha viagem LA9570538QYNA GRU > LAX 13/12 LAX > GRU 30/12 Foi emitida errada o trecho de ida! Era pra ser no dia 12/12, um dia antes. Eu to indo para uma surpresa de noivado e estava tão nervoso na hora da emissão que emite errado. Fui checar agora e me deparei com o erro que cometi. Fui tentar trocar mas tem uma cobrança enormed e taxa. A pontuação da remarcação é a mesmissima, por isso peço encarecidamente que em caráter de exceção e boa fé, remarquem sem custo o meu voo de ida para um dia antes, no dia 12/12, o mesmo voo, direto."
Enel Distribuição Ceará (Coelce),"Solicito a troca de titularidade para a unidade 55987362. A residência esta no nome do meu esposo falecido, segue em anexo os documentos. Ps: Não consegui anexar todos os documentos"
Cemig,Qual a documentação pra tarifa social ?
Serasa Experian,Verificando no site serasa encontrei várias consultas ao meu CPF algumas delas quem nem solicitei.
Cartões Renner (Realize CFI),"Fiz uma compra na Renner de mais de 1200,00 reais e prometeram um cashback de 20% em 3 dias. O cashback entrou, mas só posso utilizar 30% do valor da próxima compra. Isso não foi avisado e não tem no banner na lojas, sendo então uma propaganda enganosa, pois deveria ser informado que apenas 30% do valor da compra, gerando sempre a necessidade de realizar mais compras pasta gastar todo o cashback que expira em 30 dias."
Hurb - Hotel Urbano,Olá! Boa tarde! Estou com dificuldade de receber uma resposta simples e direta para minha questão:
Águas do Rio,A empresa está me cobrando uma valor de 144 reais por interrupção no fornecimento de água. Porém eu questionei se essa cobrança seria procedimento da empresa pois eu nunca vi um negócio desse.
Smiles,"Estou tentando cancelar meu plano (Smiles 2.000), mas não estou conseguindo fazer pelo site, pois só disponibilizam o atendimento virtual para isso. Não tem a opção de cancelamento do plano. Sou cliente há mais de 1 ano e não tenho interesse mais em mantê-lo. Solicito o cancelamento imediato."
Serasa Experian,"Serasa me contatou que houve vazamento de dados para dark web que também está me pedindo para pagar para solucionar meu dados vazados ,sendo que a empresa já expôs minhas dívidas pendentes e me restringindo de entrar mesmo para um programa habitacional, me sinto deveras constrangida com o que está ocorrendo, uso o cód 42° do consumidor."
Latam Airlines (Tam),"Voo 3124 de 25/10 foi cancelado, recebi no aplicativo, já a caminho do aeroporto, alternativas de reembolso ou remarcação, selecionei remarcação para verificar opções, ainda no taxi, verifiquei q a alternativa apresentada era para voo as 11h do dia 27/10 e nao confirmei alteração pq precisava estar em Londrina na manhã de 26 e nem aparece opção de confirmação..... Na loja em Congonhas, comuniquei o atendente e ele me disse q eu poderia fazer o pedido via ouvidoria no numero XXX.XXX.XXX-XX na data de hoje. No atendimento de hoje, protocolo 63133849 sou informada de que o voo para o qual fui transferida nao é Latam, mas GOL, e não haverá reembolso do valor da passagem, apenas das taxas de embarque. O aplicativo é enganoso!!! as informações fornecidas nesses casos de emergencia nao sao claros! Verifiquei agora, já em. casa, depois de ter retornado de SP a LOndrina de carro, q no aplicativo Latam, a unica informação de q o voo das 11h é operado pela GOL está no numero do voo G32120 e nao se menciona a transferencia de operadora na mensagem. E ainda o aplicativo Latam ainda disponibiliza botão para emissão de cartão de embarque.... Esse tratamento é dado para cliente cartão LATAM Ouro!!!!"
Azul Linhas Aéreas,"Estava olhando algumas passagens e decidi comprar uma , onde o meu cartão não foi aprovado . Fiquei tranquilo pois chegou mensagem dizendo que não foi aprovado pelo meu banco . Ao comprar a minha passagem da viagem que irei fazer vi que tinha uma passagem pendente de pagamento e que descontou em meus pontos"
Latam Airlines (Tam),"Minha necessidade se inicia, dias antes, pois a compra efetuada conforme o localizador descrito, me daria o direito de alterar os voos, antes de iniciado, bem como reembolso integral ja que a classe tarifaria permitia. Realizei diversos contatos via site e telefone(os quais podem consultar através de meu numero) questionando pois, pelo site não estava conseguindo alterar meu voo de retorno (GRU-FLN). Os atendentes me orientaram a fazer essa alteração direto no balcão de check-in. Dia 24/09, no guichê, despachei a mala(que foi avariada durante o transporte e ja abri reclamação nesse canal), e solicitei ao atendente alterar meu voo de volta (GRU-FLN). Apos quase 40minutos no balcão do check-in, ele conseguiu fazer a alteração do meu voo para a data que escolhi. Entretanto, como esse voo novo era mais barato, eu teria direito a um reembolso da direferenca, que ficaria disponível na minha LATAM WALLET. O Atendente, muito gentil, não conseguia finalizar/gerar a confirmação/ para me passar que de fato havia dado certo a transação do reembolso. Ele então, me enviou um e-mail com um print da tela, visando me dar a garantia que o estorno seria efetuado, o qual irei anexar aqui. Passados 30 dias do voo, ainda não recebi em minha LATAM WALLET o valor do reembolso da diferença da nova passagem emitida."
Natura,Venho Por meio dessa manifestação pedir uma solução Para o meu Caso pois oque acontece e que paguei meu débito em aberto fui informada que pagamento meu débito poderia fazer meu cadastro' porém não é isso que ocorreu já fui líder da empresa. Por ter passado por momentos de dificuldade não conseguir ficar em dia e agora paguei para voltar com as vendas
Azul Linhas Aéreas,"Gostaria de solicitar a revisão de uma situação referente às passagens aéreas compradas com a Azul para o trecho Rio de Janeiro Fernando de Noronha, para quatro adultos e uma criança, sob as reservas JGFMKC, XKN1SW e ZW1V8K. Inicialmente, a viagem estava marcada para ida em 18/09/2024 e retorno em 24/09/2024. Utilizei pontos TudoAzul para a compra e realizei a marcação antecipada dos assentos, pagando com cartão de crédito. Posteriormente, a Azul alterou o voo, oferecendo a possibilidade de mudança sem custos adicionais, o que optei por fazer. No entanto, ao remarcar os assentos antecipadamente, fui surpreendido com a cobrança indevida de aproximadamente 52 mil pontos, mesmo já tendo pago pela marcação anterior. Vale destacar que, em razão da reserva da minha filha de dois anos estar separada da minha, houve uma preocupação adicional quanto à alocação dos assentos, o que tornou a situação mais estressante. Peço que a Azul reveja essa cobrança duplicada pela marcação dos assentos e providencie o estorno dos pontos utilizados indevidamente. Como cliente de longa data, espero que esta questão seja tratada com a seriedade que a reputação da companhia demanda."
Serasa Experian,"gostaria que fosse removido as dividas prescritas com mais de 5 anos, do serasa , conforme entendimento do Superior tribunal federal"
Bradesco Saúde,Fui realizar exames de sangue que realizo usualmente e o plano se recusou a autorizar. os mesmos constam dentro do rol de cobertura contratada.
Latam Airlines (Tam),Adquiri passagens aéreas com itinerário Campo Grande - Santiago para passar minhas férias e lua de mel com meu esposo. Na oportunidade despachei uma mala de 23 kg que comprei a parte e uma mala de 10 kg visando a facilidade é bom relacionamento com a empresa já que o voo estava com o ocupação máxima e apesar de eu pertencer a categoria gold acabei fazendo essa concessão. Ocorre que ao desembarcar no aeroporto de Santiago fui surpreendida com a avaria da minha mala (foto anexa).
Latam Airlines (Tam),"Realizei o voo LA 3511 de FLN para GRU dia 24/09/2024, localizador OYMZWM, ETIQUETA BAGAGEM 537825 No desembarque verifiquei que minha bagagem havia sido danificada no transporte. De imediato fui no balcão da empresa no saguão das esteiras de bagagem e preenchi o RIB, porém ela não eh numerada e não nos da a possibilidade de rastreio do caso. O Funcionario Vitor M. verificou minha bagagem, atestou a quebra e me ofereceu um voucher de 120usd em cash. Aceitei o voucher e me disse que nos próximos dias eu receberia um e-mail para demais informações e como proceder. 30 dias depois ainda não recebi o contato da LATAM, ainda estou com a mala quebrada e meu problema não foi resolvido."
Cemig,Qual a documentação para ligação nova?
Latam Airlines (Tam),"Comprei um voo com a Latam para o dia 01/11 saindo de IGU com destino a CBF as 15:00. Porém, meu compromisso em Foz do Iguaçu se estendeu e com isso eu não conseguiria chegar no aeroporto as 14:00. Liguei para o atendimento e após longa demora, foi me informado que esse serviço de mudança teria uma cobrança de R$400,00 + a diferença tarifária. Além disso, foi me informado que se eu ligasse com 24hs antes do voo conseguiria alterar sem custos, sendo que é só mudança de horário. Acredito que a cordialidade da empresa e boa fé entre fornecedor de serviços e usuário a Latam poderia alterar o voo para mim já de hoje, sendo que é somente o horário."
